Vardas                   Pavarde                  ND1            ND2            ND3            ND4            ND5            ND6            ND7            ND8            ND9            ND10           Egz.
Vardenis0                Pavardenis0              2              8              5              1              10             5              9              9              3              5              6
Vardenis1                Pavardenis1              6              2              8              2              2              6              3              8              7              2              5
Vardenis2                Pavardenis2              3              4              3              3              2              7              9              6              8              7              2
Vardenis3                Pavardenis3              9              10             3              8              10             6              5              4              2              3              4
Vardenis4                Pavardenis4              4              5              2              2              4              9              8              5              3              8              8
Vardenis5                Pavardenis5              10             4              2              10             9              7              6              1              3              9              7
Vardenis6                Pavardenis6              1              3              5              9              7              6              1              10             1              1              7
Vardenis7                Pavardenis7              2              4              9              10             4              5              5              7              1              7              7
Vardenis8                Pavardenis8              2              9              5              10             7              4              8              9              9              3              10
Vardenis9                Pavardenis9              2              4              6              10             9              5              1              8              7              4              7
Vardenis10               Pavardenis10             2              6              5              3              1              10             8              4              8              3              7
Vardenis11               Pavardenis11             1              2              7              6              8              6              5              2              3              1              1
Vardenis12               Pavardenis12             2              5              7              1              8              2              8              8              8              8              4
Vardenis13               Pavardenis13             4              6              10             10             9              2              9              3              7              7              1
Vardenis14               Pavardenis14             4              9              1              2              3              6              1              10             5              8              9
Vardenis15               Pavardenis15             4              6              2              3              1              2              7              5              1              7              2
Vardenis16               Pavardenis16             9              10             9              5              2              5              4              10             9              9              1
Vardenis17               Pavardenis17             9              8              8              9              4              9              4              8              2              1              8
Vardenis18               Pavardenis18             4              5              10             7              6              2              1              10             10             7              9
Vardenis19               Pavardenis19             4              5              9              5              10             10             3              6              6              4              4
Vardenis20               Pavardenis20             4              8              5              4              9              1              9              9              1              7              9
Vardenis21               Pavardenis21             2              10             9              10             8              3              3              9              3              9              10
Vardenis22               Pavardenis22             1              8              9              2              6              9              7              2              3              5              3
Vardenis23               Pavardenis23             6              9              7              3              7              6              4              10             3              5              7
Vardenis24               Pavardenis24             2              9              3              2              2              10             8              7              3              10             6
Vardenis25               Pavardenis25             3              1              1              4              10             2              9              2              10             6              4
Vardenis26               Pavardenis26             3              6              3              6              9              7              8              8              3              3              10
Vardenis27               Pavardenis27             5              2              10             7              10             9              3              6              6              5              10
Vardenis28               Pavardenis28             2              3              6              1              9              4              10             4              10             7              8
Vardenis29               Pavardenis29             10             10             8              7              10             4              6              8              7              7              6
Vardenis30               Pavardenis30             9              3              6              5              5              2              7              2              7              4              4
Vardenis31               Pavardenis31             6              6              4              3              9              3              6              4              7              2              9
Vardenis32               Pavardenis32             7              3              2              5              7              3              10             2              6              1              4
Vardenis33               Pavardenis33             7              5              10             3              10             4              5              5              1              6              10
Vardenis34               Pavardenis34             7              4              5              3              9              9              8              6              9              2              3
Vardenis35               Pavardenis35             6              8              5              5              5              5              5              3              10             4              1
Vardenis36               Pavardenis36             8              8              9              8              4              1              4              9              3              6              3
Vardenis37               Pavardenis37             1              4              8              3              10             8              6              4              5              4              3
Vardenis38               Pavardenis38             2              2              4              3              6              4              6              2              3              3              3
Vardenis39               Pavardenis39             7              5              1              8              1              4              5              1              1              6              4
Vardenis40               Pavardenis40             2              1              7              8              6              1              1              5              6              5              10
Vardenis41               Pavardenis41             6              7              5              9              3              2              7              9              4              2              5
Vardenis42               Pavardenis42             9              5              10             3              1              8              1              7              1              8              1
Vardenis43               Pavardenis43             6              7              8              4              9              5              10             3              7              6              8
Vardenis44               Pavardenis44             8              5              6              8              10             9              4              1              3              3              4
Vardenis45               Pavardenis45             7              8              2              6              6              5              1              3              7              1              7
Vardenis46               Pavardenis46             2              2              2              8              4              1              1              5              9              4              1
Vardenis47               Pavardenis47             2              3              10             1              4              9              9              6              8              8              1
Vardenis48               Pavardenis48             9              10             4              1              8              5              8              9              4              8              2
Vardenis49               Pavardenis49             1              1              9              4              5              6              1              2              5              6              7
Vardenis50               Pavardenis50             3              1              4              6              7              7              7              8              7              8              8
Vardenis51               Pavardenis51             2              10             2              7              3              8              3              8              7              6              2
Vardenis52               Pavardenis52             4              10             10             6              10             3              7              6              4              3              5
Vardenis53               Pavardenis53             5              5              3              8              10             3              4              8              4              2              6
Vardenis54               Pavardenis54             8              9              6              9              4              3              5              2              2              6              10
Vardenis55               Pavardenis55             6              2              1              7              5              6              4              1              9              10             2
Vardenis56               Pavardenis56             4              5              8              5              7              4              7              6              3              9              2
Vardenis57               Pavardenis57             1              4              2              6              6              3              3              2              8              5              9
Vardenis58               Pavardenis58             3              4              7              4              1              4              6              3              9              1              8
Vardenis59               Pavardenis59             3              3              6              10             2              1              9              6              1              8              10
Vardenis60               Pavardenis60             1              6              4              5              2              1              5              9              6              10             3
Vardenis61               Pavardenis61             6              5              2              4              10             6              9              3              8              10             7
Vardenis62               Pavardenis62             2              8              8              2              10             1              4              5              2              8              6
Vardenis63               Pavardenis63             4              4              3              5              2              3              10             1              9              8              5
Vardenis64               Pavardenis64             6              7              9              1              8              8              5              4              2              4              7
Vardenis65               Pavardenis65             4              1              2              10             1              5              3              10             4              2              5
Vardenis66               Pavardenis66             9              3              1              6              6              10             4              3              9              8              5
Vardenis67               Pavardenis67             9              2              5              4              6              6              3              7              9              10             3
Vardenis68               Pavardenis68             10             6              10             5              6              1              6              9              9              1              2
Vardenis69               Pavardenis69             4              3              3              3              8              1              4              2              4              4              8
Vardenis70               Pavardenis70             1              10             6              6              9              4              8              9              4              8              10
Vardenis71               Pavardenis71             4              10             2              9              3              9              1              2              9              5              9
Vardenis72               Pavardenis72             7              1              10             4              1              1              9              8              7              4              6
Vardenis73               Pavardenis73             7              6              9              4              10             5              9              4              10             8              7
Vardenis74               Pavardenis74             5              6              9              7              2              6              6              2              10             7              5
Vardenis75               Pavardenis75             6              5              3              6              4              3              7              9              3              7              7
Vardenis76               Pavardenis76             4              10             5              6              7              3              6              4              6              7              7
Vardenis77               Pavardenis77             2              5              5              7              3              7              9              3              6              6              2
Vardenis78               Pavardenis78             1              2              6              2              8              7              1              1              3              5              4
Vardenis79               Pavardenis79             4              7              3              9              3              4              5              4              5              4              7
Vardenis80               Pavardenis80             9              5              8              4              10             9              1              1              9              9              1
Vardenis81               Pavardenis81             6              2              5              4              7              4              10             3              2              10             9
Vardenis82               Pavardenis82             3              4              5              1              3              4              2              10             9              10             9
Vardenis83               Pavardenis83             10             2              4              6              2              5              3              6              4              9              10
Vardenis84               Pavardenis84             3              9              8              1              2              5              9              2              10             4              6
Vardenis85               Pavardenis85             10             8              10             9              1              2              5              8              6              6              6
Vardenis86               Pavardenis86             1              10             3              9              3              5              6              1              5              5              1
Vardenis87               Pavardenis87             6              2              2              6              10             1              9              4              9              8              3
Vardenis88               Pavardenis88             7              10             4              9              2              1              4              4              9              5              9
Vardenis89               Pavardenis89             1              2              6              5              2              4              8              4              6              9              6
Vardenis90               Pavardenis90             7              10             1              9              10             4              7              1              7              10             8
Vardenis91               Pavardenis91             9              10             5              2              6              7              7              7              7              7              8
Vardenis92               Pavardenis92             2              5              1              7              2              3              2              5              10             6              3
Vardenis93               Pavardenis93             4              5              2              6              3              4              2              7              9              9              3
Vardenis94               Pavardenis94             8              8              2              3              7              1              5              10             5              7              1
Vardenis95               Pavardenis95             4              7              3              5              6              9              9              2              3              2              5
Vardenis96               Pavardenis96             10             9              3              5              6              3              10             10             9              4              9
Vardenis97               Pavardenis97             7              10             9              7              7              3              4              9              3              7              3
Vardenis98               Pavardenis98             8              6              8              9              3              8              9              1              3              1              9
Vardenis99               Pavardenis99             10             3              9              3              1              6              6              3              8              7              8
